歌星id,歌星名称
"1769","韩雪"
"1770","洪佩谊"
"1771","黄立成"
"1772","霍建华"
"1773","柯有伦"
"1774","赖雅妍"
"1775","李岗霖"
"1777","李宇春"
"1778","梁洛施"
"1779","林佑威"
"1780","林宇中"
"1781","刘耕宏"
"1782","麻吉弟弟"
"1783","蒙恩使女"
"1784","轻松玩乐团"
"1785","深白色2人组"
"1786","台风"
"1787","唐磊"
"1788","汪峰"
"1789","香香"
"1790","谢军"
"1791","许哲佩"
"1792","阳一"
"1793","杨丞琳"
"1794","元卫觉醒"
"1795","张惠春"
"1796","张靓颖"
"1797","张玮纶"
"1798","张振宇"
"1799","赵默"
"1800","郑融"
"1801","周笔畅"
"1802","李杰圣"
"1803","郑希怡"
"1804","何洁"
"1805","刘和刚"
"1806","藏娃"
"1807","50 Cent"
"1808","ARRON NEVILLE"
"1809","Ben"
"1810","BOBBY MCFERRIN"
"1811","Bryan Adams"
"1812","CHAYANNE"
"1813","Chris Brown"
"1814","Craig David"
"1815","DAVID  GUETTA"
"1816","David Archuleta"
"1817","DJ Khaled"
"1818","ELRIS PRESLEY"
"1819","EMINEM"
"1820","Eric"
"1821","Eru"
"1822","EVERLY BROTHERS"
"1823","GEORGE MICHAEL"
"1824","James Blunt"
"1825","Jason Mraz"
"1826","JAY'ED"
"1827","JOHN DENVER"
"1828","John Lenon"
"1829","JUN JIN"
"1830","Justin Timberlake"
"1831","Kanye West"
"1832","KCM"
"1833","Kingston Sean"
"1834","MC the MAX"
"1835","Ne yo"
"1836","NELLY"
"1837","PCHY"
"1838","ROBBIE WILLIAMS"
"1839","Rod Steward"
"1840","Stephen Bishop"
"1841","Timbaland"
"1842","VITAS"
"1843","李逸"
"1844","林健辉"
"1845","刘承俊"
"1846","罗勋"
"1847","申胜勋"
"1848","藤木直人"
"1849","小松拓也"
"1850","易杰齐"
"1851","27阿部真央"
"1852","AALIYAH"
"1853","Beyonce"
"1854","Ciara"
"1855","COLBIE CAILLAT"
"1856","Fantasy"
"1857","Holly.Valance"
"1858","JANET JACKSON"
"1859","Jennifer Hudson"
"1860","JEWEL"
"1861","Jordin Sparks"
"1862","JUJU"
"1863","Katy Perry"
"1864","LADY GAGA"
"1865","Leona Lewis"
"1866","Lily Allen"
"1867","Maria Arredondo"
"1868","MEREDITH BROOKS"
"1869","Miley Cyrus"
"1870","MINH TUYET"
"1871","Natasha Bedingfield"
"1872","Rihanna"
"1873","SARA"
"1874","Sarah Connor"
"1875","Shakira"
"1876","TATA YOUNG"
"1877","Taylor Swift"
"1878","TAYLORSWIFT"
"1879","Utada hikaru"
"1880","VANESSA WILLIA"
"1881","Yui"
"1882","伴都美子"
"1883","高以爱"
"1884","简美妍"
"1885","金雅中"
"1886","李宝莺"
"1887","梁雨恩"
"1888","米娜"
"1889","木村カエラ"
"1890","松隆子"
"1891","松浦亚弥"
"1892","苏珊"
"1893","孙丹菲"
"1894","土屋安娜"
"1895","王雪晶"
"1896","夏川りみ"
"1897","小凤凤"
"1898","新垣結衣"
"1899","徐仁英"
"1900","许雅涵"
"1901","玄英"
"1902","一青窈"
"1903","张润贞"
"1904","中川翔子"
"1905","中岛美嘉"
"1906","AERO SMITH"
"1907","Alesha Dixon"
